model,family,n,jump_modal_layer,jump_modal_count,jump_median_depth,sat_modal_layer,sat_modal_count,sat_min_layer,sat_max_layer,sat_median_depth,median_floor_to_peak_span,min_floor_to_peak_span
meta-llama-Llama-3.1-8B,declarative,1,16,1,0.5161290322580645,18,1,18,18,0.5806451612903226,0.5044047619047619,0.5044047619047619
phenixace-Chem-R-Faithful,declarative,1,18,1,0.5806451612903226,18,1,18,18,0.5806451612903226,0.437514880952381,0.437514880952381
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,declarative,1,16,1,0.5161290322580645,19,1,19,19,0.6129032258064516,0.43229166666666674,0.43229166666666674
