model,entity_type,layer,depth,raw_pairwise_cos,cent_within,cent_between,cent_gap,n_templates,n_points,tsne_verdict,diffvec_cumvar_k1,diffvec_cumvar_k2,diffvec_cumvar_k3,diffvec_cumvar_k5,diffvec_cumvar_k10
meta-llama-Llama-3.1-8B,boiling_point_c question,24,0.7742,0.9792732886161978,0.6201545901580208,-0.030733607881584194,0.650888198039605,9,828,,0.6903713345527649,0.7937499284744263,0.8458272814750671,0.8988286852836609,0.9525744318962097
meta-llama-Llama-3.1-8B,boiling_point_c question,31,1.0,0.9773464373891797,0.578072121689043,-0.03017275375381285,0.6082448754428559,9,828,,0.6107365489006042,0.7213508486747742,0.7725623846054077,0.8352534174919128,0.9191227555274963
meta-llama-Llama-3.1-8B,functional_group,0,0.0,0.9902608369562083,0.7394073493125146,-0.007718323110566416,0.747125672423081,10,920,,0.6130459308624268,0.7247016429901123,0.8282099366188049,0.9083448052406311,0.9623592495918274
meta-llama-Llama-3.1-8B,functional_group,8,0.2581,0.9651352546884862,0.6712642537854743,-0.036490012638527684,0.707754266424002,10,920,,0.6196303367614746,0.7160874605178833,0.7673893570899963,0.8398764133453369,0.9101224541664124
meta-llama-Llama-3.1-8B,functional_group,16,0.5161,0.9433172141970257,0.6953597168127695,-0.04159211560633131,0.7369518324191009,10,920,mixed,0.6075779795646667,0.7098373770713806,0.7597699165344238,0.8169718384742737,0.9062157869338989
meta-llama-Llama-3.1-8B,functional_group,24,0.7742,0.8561416477377883,0.8272988874661295,-0.047672392680752046,0.8749712801468815,10,920,,0.5257323980331421,0.6503130197525024,0.72212153673172,0.8173994421958923,0.9119724035263062
meta-llama-Llama-3.1-8B,functional_group,31,1.0,0.9427048246284108,0.8170263011727417,-0.04619987149333461,0.8632261726660763,10,920,,0.48005637526512146,0.5921190977096558,0.6779304146766663,0.7741125822067261,0.8780801892280579
meta-llama-Llama-3.1-8B,functional_group question,0,0.0,0.9685977115422644,0.711932061403467,-0.00037719774467915527,0.7123092591481461,10,920,,0.500855028629303,0.7159899473190308,0.822295606136322,0.8940634727478027,0.9572811722755432
meta-llama-Llama-3.1-8B,functional_group question,8,0.2581,0.9754292557556209,0.631164018783653,-0.03454042318875434,0.6657044419724074,10,920,,0.5774410367012024,0.6613646745681763,0.7242292165756226,0.8235076069831848,0.9076411724090576
meta-llama-Llama-3.1-8B,functional_group question,16,0.5161,0.9812155737725389,0.625832097114701,-0.034433780874460564,0.6602658779891616,10,920,,0.5440916419029236,0.6697394847869873,0.7743529081344604,0.8454998731613159,0.9230819344520569
meta-llama-Llama-3.1-8B,functional_group question,24,0.7742,0.98049485850038,0.7046826372347903,-0.03995717151030465,0.7446398087450949,10,920,,0.5456138253211975,0.6519307494163513,0.7485262155532837,0.819684624671936,0.914604663848877
meta-llama-Llama-3.1-8B,functional_group question,31,1.0,0.9784867909896675,0.669458784489778,-0.03780338505423156,0.7072621695440096,10,920,,0.5227423310279846,0.6280927062034607,0.7108875513076782,0.7840788960456848,0.8855175375938416
