model_a,model_b,entity_type,layer,delta_a,delta_b,paired_delta,ci_lo,ci_hi,p_gt_zero,n_boot,seed
phenixace-Chem-R-Faithful,meta-llama-Llama-3.1-8B,functional_group,0,0.244754,0.533706,-0.288951,-0.535181,0.005166,0.0285,4000,0
phenixace-Chem-R-Faithful,meta-llama-Llama-3.1-8B,functional_group,8,0.400317,0.505999,-0.105682,-0.402109,0.143154,0.1935,4000,0
phenixace-Chem-R-Faithful,meta-llama-Llama-3.1-8B,functional_group,16,0.422615,0.259982,0.162633,-0.138256,0.467856,0.8625,4000,0
phenixace-Chem-R-Faithful,meta-llama-Llama-3.1-8B,functional_group,24,0.366904,0.003491,0.363413,0.004333,0.697526,0.9758,4000,0
phenixace-Chem-R-Faithful,meta-llama-Llama-3.1-8B,functional_group,31,0.268077,-0.205446,0.473523,0.107889,0.798435,0.9915,4000,0
