model,layer,depth,group,within_score
meta-llama-Llama-3.1-8B,24,0.7742,sulfoxide,0.9349790116151174
meta-llama-Llama-3.1-8B,24,0.7742,thioether,0.8789728482564291
meta-llama-Llama-3.1-8B,24,0.7742,thiol,0.9399645527203878
meta-llama-Llama-3.1-8B,31,1.0,alcohol,0.9301658968130747
meta-llama-Llama-3.1-8B,31,1.0,aldehyde,0.8791758219401041
meta-llama-Llama-3.1-8B,31,1.0,alkyl bromide,0.7536026537418365
meta-llama-Llama-3.1-8B,31,1.0,alkyl chloride,0.8925223350524902
meta-llama-Llama-3.1-8B,31,1.0,alkyl fluoride,0.8818089962005615
meta-llama-Llama-3.1-8B,31,1.0,alkyl iodide,0.8151578903198242
meta-llama-Llama-3.1-8B,31,1.0,amide,0.9219905535380045
meta-llama-Llama-3.1-8B,31,1.0,amine,0.9325649738311768
meta-llama-Llama-3.1-8B,31,1.0,carboxylic acid,0.9240075846513113
meta-llama-Llama-3.1-8B,31,1.0,ester,0.8487586776415507
meta-llama-Llama-3.1-8B,31,1.0,ether,0.7932397524515787
meta-llama-Llama-3.1-8B,31,1.0,imine,0.9165354569753011
meta-llama-Llama-3.1-8B,31,1.0,ketone,0.9115813374519348
meta-llama-Llama-3.1-8B,31,1.0,nitrile,0.9111519853274027
meta-llama-Llama-3.1-8B,31,1.0,nitro,0.9178975919882456
meta-llama-Llama-3.1-8B,31,1.0,sulfone,0.9284735321998596
meta-llama-Llama-3.1-8B,31,1.0,sulfoxide,0.934943437576294
meta-llama-Llama-3.1-8B,31,1.0,thioether,0.877110481262207
meta-llama-Llama-3.1-8B,31,1.0,thiol,0.9580444395542145
meta-llama-Llama-3.1-70B,0,0.0,alcohol,0.8270214299360911
meta-llama-Llama-3.1-70B,0,0.0,aldehyde,0.8730767567952474
meta-llama-Llama-3.1-70B,0,0.0,alkyl bromide,0.8533204098542532
meta-llama-Llama-3.1-70B,0,0.0,alkyl chloride,0.7141955892244974
meta-llama-Llama-3.1-70B,0,0.0,alkyl fluoride,0.8116468985875448
meta-llama-Llama-3.1-70B,0,0.0,alkyl iodide,0.85789222518603
meta-llama-Llama-3.1-70B,0,0.0,amide,0.8918639024098715
meta-llama-Llama-3.1-70B,0,0.0,amine,0.793781578540802
meta-llama-Llama-3.1-70B,0,0.0,carboxylic acid,0.9526936511198679
meta-llama-Llama-3.1-70B,0,0.0,ester,0.6923550963401794
meta-llama-Llama-3.1-70B,0,0.0,ether,0.7433422406514486
meta-llama-Llama-3.1-70B,0,0.0,imine,0.9019904434680939
meta-llama-Llama-3.1-70B,0,0.0,ketone,0.47092698390285176
meta-llama-Llama-3.1-70B,0,0.0,nitrile,0.917904406785965
meta-llama-Llama-3.1-70B,0,0.0,nitro,0.9550718267758688
meta-llama-Llama-3.1-70B,0,0.0,sulfone,0.9126607477664948
meta-llama-Llama-3.1-70B,0,0.0,sulfoxide,0.8671355942885081
meta-llama-Llama-3.1-70B,0,0.0,thioether,0.812488834063212
meta-llama-Llama-3.1-70B,0,0.0,thiol,0.8310585220654806
meta-llama-Llama-3.1-70B,20,0.2532,alcohol,0.7824507157007853
meta-llama-Llama-3.1-70B,20,0.2532,aldehyde,0.6916721314191818
meta-llama-Llama-3.1-70B,20,0.2532,alkyl bromide,0.7457623779773712
meta-llama-Llama-3.1-70B,20,0.2532,alkyl chloride,0.7433523138364156
meta-llama-Llama-3.1-70B,20,0.2532,alkyl fluoride,0.8378536701202393
meta-llama-Llama-3.1-70B,20,0.2532,alkyl iodide,0.764586607615153
meta-llama-Llama-3.1-70B,20,0.2532,amide,0.7967657347520193
meta-llama-Llama-3.1-70B,20,0.2532,amine,0.8496376673380533
meta-llama-Llama-3.1-70B,20,0.2532,carboxylic acid,0.8111738363901774
meta-llama-Llama-3.1-70B,20,0.2532,ester,0.5958860019842783
meta-llama-Llama-3.1-70B,20,0.2532,ether,0.7451396981875101
meta-llama-Llama-3.1-70B,20,0.2532,imine,0.8496066232522329
meta-llama-Llama-3.1-70B,20,0.2532,ketone,0.6503436962763468
